"ID","ShirtName","DOB","POS","Club","Height","Caps","Goals"
111,"M. BORJA","26.01.1993","FW","Palmeiras (BRA)",183,7,2
112,"J. QUINTERO","18.01.1993","MF","River Plate (ARG)",169,15,2
113,"IZQUIERDO","07.07.1992","FW","Brighton (ENG)",171,5,1
114,"J.F. CUADRADO","01.06.1985","GK","Once Caldas (COL)",180,1,0
115,"D. SANCHEZ","12.06.1996","DF","Tottenham Hotspur (ENG)",187,9,0
116,"K. NAVAS","15.12.1986","GK","Real Madrid (ESP)",185,81,0
117,"J. ACOSTA","21.07.1983","DF","Águilas Doradas Rionegro (COL)",176,66,2
118,"G. GONZALEZ","08.02.1988","DF","Bologna (ITA)",186,68,2
119,"I. SMITH","06.03.1998","DF","Norrkoping (SWE)",177,4,0
120,"C. BORGES","27.05.1988","MF","Deportivo La Coruña (ESP)",187,111,18
121,"O. DUARTE","03.06.1989","DF","RCD Espanyol (ESP)",186,36,2
122,"C. BOLAÑOS","17.05.1984","MF","Saprissa (CRC)",178,82,7
123,"B. OVIEDO","18.02.1990","DF","Sunderland (ENG)",172,42,1
124,"D. COLINDRES","10.01.1985","MF","Saprissa (CRC)",180,11,0
125,"BRYAN","18.08.1985","MF","Sporting CP (POR)",187,109,24
126,"J. VENEGAS","27.11.1988","FW","Saprissa (CRC)",183,47,10
127,"J. CAMPBELL","26.06.1992","FW","Real Betis (ESP)",178,77,15
128,"R. WALLACE","17.06.1988","MF","New York City Football Club (USA)",180,28,4
129,"R. AZOFEIFA","30.12.1984","MF","Herediano (CRC)",182,59,3
130,"F. CALVO","08.07.1992","DF","Minnesota (USA)",180,36,4
131,"C. GAMBOA","24.10.1989","DF","Celtic (SCO)",175,68,3
132,"Y. TEJEDA","17.03.1992","MF","Lausanne (SUI)",179,49,0
133,"P. PEMBERTON","24.04.1982","GK","Alajuelense (CRC)",178,39,0
134,"K. WASTON","01.01.1988","DF","Vancouver Whitecaps (CAN)",196,25,2
135,"D. GUZMAN","18.02.1990","MF","Portland Timbers (USA)",176,45,0
136,"M. UREÑA","05.03.1990","FW","Los Angeles Football Club (USA)",181,62,14
137,"R. MATARRITA","09.07.1994","DF","New York City Football Club (USA)",175,23,2
138,"L. MOREIRA","02.04.1990","GK","Herediano (CRC)",179,9,0
139,"LIVAKOVIĆ","09.01.1995","GK","Dinamo Zagreb (CRO)",188,1,0
140,"VRSALJKO","10.01.1992","DF","Atlético Madrid (ESP)",181,35,0
141,"STRINIĆ","17.07.1987","DF","Sampdoria (ITA)",186,43,0
142,"PERIŠIĆ","02.02.1989","FW","Internazionale (ITA)",186,66,18
143,"ĆORLUKA","05.02.1986","DF","Lokomotiv Moskva (RUS)",192,99,4
144,"LOVREN","05.07.1989","DF","Liverpool (ENG)",188,39,2
145,"RAKITIĆ","10.03.1988","MF","FC Barcelona (ESP)",184,92,14
146,"KOVAČIĆ","06.05.1994","MF","Real Madrid (ESP)",178,41,1
147,"KRAMARIĆ","19.06.1991","FW","1899 Hoffenheim (GER)",177,31,9
148,"MODRIĆ","09.09.1985","MF","Real Madrid (ESP)",172,106,12
149,"BROZOVIĆ","16.11.1992","MF","Internazionale (ITA)",181,35,6
150,"L. KALINIĆ","03.04.1990","GK","AA Gent (BEL)",201,11,0
151,"JEDVAJ","28.11.1995","DF","Bayer Leverkusen (GER)",184,12,0
152,"BRADARIĆ","11.01.1992","MF","NK Rijeka (CRO)",186,4,0
153,"ĆALETA-CAR","17.09.1996","DF","Red Bull Salzburg (AUT)",192,1,0
154,"N. KALINIĆ","05.01.1988","FW","AC Milan (ITA)",187,42,15
155,"MANDŽUKIĆ","21.05.1986","FW","Juventus (ITA)",190,83,30
156,"REBIĆ","21.09.1993","FW","Eintracht Frankfurt (GER)",185,16,1
157,"BADELJ","25.02.1989","MF","Fiorentina (ITA)",186,38,1
158,"PJACA","06.05.1995","FW","Schalke 04 (GER)",186,16,1
159,"VIDA","29.04.1989","DF","Besiktas (TUR)",184,59,2
160,"PIVARIĆ","30.01.1989","DF","Dynamo Kyiv (UKR)",176,19,0
161,"SUBAŠIĆ","27.10.1984","GK","AS Monaco (FRA)",191,38,0
162,"SCHMEICHEL","05.11.1986","GK","Leicester (ENG)",190,35,0
163,"KROHN-DEHLI","06.06.1983","MF","Deportivo La Coruña (ESP)",171,58,6
164,"VESTERGAARD","03.08.1992","DF","Borussia Moenchengladbach (GER)",200,16,1
165,"KJÆR","26.03.1989","DF","Sevilla FC (ESP)",191,75,3
166,"KNUDSEN","16.09.1992","DF","Ipswich Town (ENG)",187,3,0
167,"CHRISTENSEN","10.04.1996","DF","Chelsea (ENG)",192,16,1
168,"KVIST","24.02.1985","MF","FC København (DEN)",185,80,2
169,"DELANEY","03.09.1991","MF","Werder Bremen (GER)",180,27,4
170,"N. JØRGENSEN","15.01.1991","FW","Feyenoord (NED)",194,31,8
171,"ERIKSEN","14.02.1992","MF","Tottenham Hotspur (ENG)",181,78,22
172,"BRAITHWAITE","05.06.1991","FW","Girondins Bordeaux (FRA)",180,20,1
173,"DOLBERG","06.10.1997","FW","Ajax (NED)",187,6,1
174,"M. JØRGENSEN","23.04.1990","DF","Huddersfield (ENG)",191,12,0
175,"DALSGAARD","27.07.1989","DF","Brentford (ENG)",190,11,0
176,"FISCHER","09.06.1994","FW","FC København (DEN)",181,19,3
177,"LÖSSL","01.02.1989","GK","Huddersfield (ENG)",195,1,0
178,"STRYGER","21.02.1991","DF","Udinese (ITA)",182,13,1
179,"LERAGER","12.07.1993","MF","Girondins Bordeaux (FRA)",186,4,0
180,"SCHÖNE","27.05.1986","MF","Ajax (NED)",178,36,3
181,"YURARY","15.06.1994","FW","RasenBallsport Leipzig (GER)",193,28,4
182,"CORNELIUS","16.03.1993","FW","Atalanta Bergamo (ITA)",195,18,4
183,"RØNNOW","04.08.1992","GK","Brøndby IF (DEN)",190,6,0
184,"SISTO","04.02.1995","FW","Celta (ESP)",173,14,1
185,"ELHADARY","15.01.1973","GK","Al Taawoun Football Club (KSA)",190,158,0
186,"ALI GABR","01.01.1989","DF","West Bromwich Albion FC (ENG)",191,22,1
187,"ELMOHAMADY","09.09.1987","DF","Aston Villa (ENG)",183,84,2
188,"O. GABER","30.01.1992","MF","Los Angeles Football Club (USA)",175,24,0
189,"MORSY","10.09.1991","MF","Wigan Athletic (ENG)",173,5,0
190,"A. HEGAZY","25.01.1991","DF","West Bromwich Albion FC (ENG)",194,45,1
191,"A. FATHI","10.11.1984","DF","Al Ahly Cairo (EGY)",176,128,3
192,"TAREK HAMED","24.10.1988","MF","Zamalek (EGY)",169,23,0
193,"MARWAN","26.02.1989","FW","Al Ahly Cairo (EGY)",185,22,4
194,"M SALAH","15.06.1992","FW","Liverpool (ENG)",175,56,35
195,"M. KAHRABA","13.04.1994","FW","Al Ittihad (Jeddah) (KSA)",182,22,3
196,"A. ASHRAF","09.04.1991","DF","Al Ahly Cairo (EGY)",176,3,1
197,"ABDELSHAFY","01.07.1985","DF","Al Fath (KSA)",171,52,2
198,"RAMADAN","23.01.1997","FW","Stoke (ENG)",183,25,1
199,"M. HAMDY","01.06.1995","DF","Zamalek (EGY)",173,1,0
200,"EKRAMY","10.07.1983","GK","Al Ahly Cairo (EGY)",193,23,0
201,"M. ELNENY","11.07.1992","MF","Arsenal (ENG)",181,61,5
202,"SHIKABALA","05.03.1986","FW","Al-Raed Sports Club (KSA)",183,32,2
203,"ABDALLA","13.07.1985","MF","Kuopion Palloseura (FIN)",176,38,6
204,"S. SAMIR","01.04.1989","DF","Al Masry (EGY)",183,11,0
205,"M. TREZEGUET","01.10.1994","MF","Kasimpasa SK (TUR)",181,26,2
206,"WARDA","17.09.1993","FW","Atromitos FC (GRE)",179,17,0
207,"M. ELSHENAWY","18.12.1988","GK","Al Ahly Cairo (EGY)",191,3,0
208,"PICKFORD","07.03.1994","GK","Everton (ENG)",185,3,0
209,"WALKER","28.05.1990","DF","Manchester City (ENG)",178,35,0
210,"ROSE","02.07.1990","DF","Tottenham Hotspur (ENG)",173,18,0
211,"DIER","15.01.1994","MF","Tottenham Hotspur (ENG)",188,26,3
212,"STONES","28.05.1994","DF","Manchester City (ENG)",188,26,0
213,"MAGUIRE","05.03.1993","DF","Leicester (ENG)",193,5,0
214,"LINGARD","15.12.1992","MF","Manchester United (ENG)",175,12,1
215,"HENDERSON","17.06.1990","MF","Liverpool (ENG)",183,39,0
216,"KANE","28.07.1993","FW","Tottenham Hotspur (ENG)",188,24,13
217,"STERLING","08.12.1994","FW","Manchester City (ENG)",170,38,2
218,"VARDY","11.01.1987","FW","Leicester (ENG)",178,22,7
219,"TRIPPIER","19.09.1990","DF","Tottenham Hotspur (ENG)",178,7,0
220,"BUTLAND","10.03.1993","GK","Stoke (ENG)",196,8,0
221,"WELBECK","26.11.1990","FW","Arsenal (ENG)",184,39,16
222,"CAHILL","19.12.1985","DF","Chelsea (ENG)",191,60,5
223,"JONES","21.02.1992","DF","Manchester United (ENG)",182,25,0
224,"DELPH","21.11.1989","DF","Manchester City (ENG)",174,11,0
225,"YOUNG","09.07.1985","DF","Manchester United (ENG)",175,34,7
226,"RASHFORD","31.10.1997","FW","Manchester United (ENG)",180,19,3
227,"DELE","11.04.1996","MF","Tottenham Hotspur (ENG)",188,25,2
228,"LOFTUS-CHEEK","23.01.1996","MF","Chelsea (ENG)",190,4,0
229,"ALEXANDER-ARNOLD","07.10.1998","DF","Liverpool (ENG)",175,1,0
230,"POPE","19.04.1992","GK","Burnley (ENG)",191,1,0
231,"LLORIS","26.12.1986","GK","Tottenham Hotspur (ENG)",188,98,0
232,"PAVARD","28.03.1996","DF","VfB Stuttgart (GER)",186,6,0
233,"KIMPEMBE","13.08.1995","DF","Paris Saint-Germain (FRA)",182,2,0
234,"VARANE","25.04.1993","DF","Real Madrid (ESP)",191,42,2
235,"UMTITI","14.11.1993","DF","FC Barcelona (ESP)",183,19,2
236,"POGBA","15.03.1993","MF","Manchester United (ENG)",191,54,9
237,"GRIEZMANN","21.03.1991","FW","Atlético Madrid (ESP)",174,54,20
238,"LEMAR","12.11.1995","FW","AS Monaco (FRA)",172,12,3
239,"GIROUD","30.09.1986","FW","Chelsea (ENG)",193,74,31
240,"MBAPPE","20.12.1998","FW","Paris Saint-Germain (FRA)",178,15,4
241,"DEMBELE","15.05.1997","FW","FC Barcelona (ESP)",178,12,2
242,"TOLISSO","03.08.1994","MF","Bayern München (GER)",180,9,0
243,"KANTE","29.03.1991","MF","Chelsea (ENG)",168,24,1
244,"MATUIDI","09.04.1987","MF","Juventus (ITA)",180,67,9
245,"NZONZI","15.12.1988","MF","Sevilla FC (ESP)",197,4,0
246,"MANDANDA","28.03.1985","GK","Olympique Marseille (FRA)",187,27,0
247,"RAMI","27.12.1985","DF","Olympique Marseille (FRA)",190,35,1
248,"FEKIR","18.07.1993","FW","Olympique Lyon (FRA)",173,12,2
249,"SIDIBE","29.07.1992","DF","AS Monaco (FRA)",184,17,1
250,"THAUVIN","26.01.1993","FW","Olympique Marseille (FRA)",180,4,0
251,"HERNANDEZ","14.02.1996","DF","Atlético Madrid (ESP)",183,5,0
252,"MENDY","17.07.1994","DF","Manchester City (ENG)",183,7,0
253,"AREOLA","27.02.1993","GK","Paris Saint-Germain (FRA)",195,0,0
254,"NEUER","27.03.1986","GK","Bayern München (GER)",193,76,0
255,"PLATTENHARDT","26.01.1992","DF","Hertha BSC (GER)",181,6,0
256,"HECTOR","27.05.1990","DF","1. FC Köln (GER)",185,38,3
257,"GINTER","19.01.1994","DF","Borussia Moenchengladbach (GER)",189,18,0
258,"HUMMELS","16.12.1988","DF","Bayern München (GER)",192,64,5
259,"KHEDIRA","04.04.1987","MF","Juventus (ITA)",189,75,7
260,"DRAXLER","20.09.1993","MF","Paris Saint-Germain (FRA)",185,44,6
261,"KROOS","04.01.1990","MF","Real Madrid (ESP)",182,83,12
262,"WERNER","06.03.1996","FW","RasenBallsport Leipzig (GER)",181,14,8
263,"ÖZIL","15.10.1988","MF","Arsenal (ENG)",180,90,23
264,"REUS","31.05.1989","FW","Borussia Dortmund (GER)",180,31,9
265,"TRAPP","08.07.1990","GK","Paris Saint-Germain (FRA)",189,3,0
266,"MÜLLER","13.09.1989","MF","Bayern München (GER)",186,91,38
267,"GORETZKA","06.02.1995","MF","Schalke 04 (GER)",189,15,6
268,"SÜLE","03.09.1995","DF","Bayern München (GER)",195,11,0
269,"RÜDIGER","03.03.1993","DF","Chelsea (ENG)",191,24,1
270,"BOATENG","03.09.1988","DF","Bayern München (GER)",192,71,1
271,"KIMMICH","08.02.1995","DF","Bayern München (GER)",176,29,3
272,"RUDY","28.02.1990","MF","Bayern München (GER)",179,25,1
273,"BRANDT","02.05.1996","MF","Bayer Leverkusen (GER)",183,16,1
274,"GÜNDOGAN","24.10.1990","MF","Manchester City (ENG)",180,26,4
275,"TER STEGEN","30.04.1992","GK","FC Barcelona (ESP)",187,20,0
276,"GOMEZ","10.07.1985","FW","VfB Stuttgart (GER)",189,75,31
277,"HALLDORSSON","27.04.1984","GK","Randers FC (DEN)",193,49,0
278,"SÆVARSSON","11.11.1984","DF","Valur (ISL)",186,79,1
279,"FRIDJÓNSSON","22.02.1996","MF","Vålerenga Fotball (NOR)",185,4,1
280,"A. GUDMUNDSSON","15.06.1997","MF","PSV (NED)",177,5,3
281,"INGASON","05.08.1993","DF","FK Rostov (RUS)",188,20,3
282,"R. SIGURDSSON","19.06.1986","DF","FK Rostov (RUS)",187,77,3
283,"J. GUDMUNDSSON","27.10.1990","MF","Burnley (ENG)",179,67,7
284,"BJARNASON","27.05.1988","MF","Aston Villa (ENG)",183,67,9
285,"SIGURDARSON","26.02.1991","FW","FK Rostov (RUS)",187,13,1
286,"G. SIGURDSSON","08.09.1989","MF","Everton (ENG)",186,57,19
287,"FINNBOGASON","01.02.1989","FW","FC Augsburg (GER)",185,47,13
288,"SCHRAM","19.01.1995","GK","Roskilde BK (DEN)",198,4,0
289,"RÚNARSSON","18.02.1995","GK","FC Nordsjælland (DEN)",186,3,0
290,"ÁRNASON","13.10.1982","DF","Aberdeen (SCO)",191,67,5
291,"EYJÓLFSSON","06.08.1990","DF","Levski Sofia (BUL)",188,10,1
292,"Ó. SKÚLASON","01.04.1983","MF","Karabukspor (TUR)",184,36,1
293,"GUNNARSSON","22.04.1989","MF","Cardiff City (WAL)",181,77,2
294,"MAGNÚSSON","11.02.1993","DF","Bristol City (ENG)",191,16,2
295,"GÍSLASON","25.02.1988","MF","SV Sandhausen (GER)",184,47,3
296,"HALLFREDSSON","29.06.1984","MF","Udinese (ITA)",186,64,1
297,"TRAUSTASON","30.04.1993","MF","Malmö FF (SWE)",183,19,5
298,"BÖDVARSSON","25.05.1992","FW","Reading (ENG)",189,38,2
299,"A. SKÚLASON","14.05.1987","DF","Lokeren (BEL)",170,56,0
300,"A. BEIRANVAND","21.09.1992","GK","Persepolis Football Club (IRN)",194,22,0
301,"M. TORABI","10.09.1994","MF","Saipa (IRN)",185,15,4
302,"HAJI SAFI","25.02.1990","DF","Olympiacos (GRE)",178,94,6
303,"R. CHESHMI","24.07.1993","DF","Esteghlal Tehran (IRN)",192,9,1
304,"M. MOHAMMADI","29.09.1993","DF","FC Akhmat Grozny (RUS)",178,19,0
305,"S. EZATOLAHI","01.10.1996","MF","FK Amkar Perm (RUS)",190,25,2
306,"SHOJAEI. M","09.06.1984","MF","AEK Athinai (GRE)",187,74,8
307,"M. POURALIGANJI","19.04.1992","DF","Al Sadd (QAT)",187,27,2
308,"OMID","16.09.1987","MF","Esteghlal Tehran (IRN)",178,29,0
309,"KARIM","03.04.1990","FW","Olympiacos (GRE)",187,64,18
310,"V. AMIRI","02.04.1988","MF","Persepolis Football Club (IRN)",179,35,1
311,"RASHID","18.05.1989","GK","Zob Ahan Isfahan FC (IRN)",192,3,0
312,"M.R. KHANZADEH","11.05.1991","DF","Padideh Khorasan Football Club(IRN)",186,8,1
313,"GHODDOS","06.09.1993","FW","IFK Östersund FK (SWE)",177,7,1
314,"P. MONTAZERI","06.09.1983","DF","Esteghlal Tehran (IRN)",185,46,1
315,"REZA","20.09.1987","FW","sc Heerenveen (NED)",180,43,17
316,"MEHDI","18.07.1992","FW","Al Gharrafa (QAT)",187,26,11
317,"A. JAHANBAKHSH","11.08.1993","FW","AZ (NED)",180,38,4
318,"M. HOSSEINI","20.06.1996","DF","Esteghlal Tehran (IRN)",183,1,0
319,"SARDAR","01.01.1995","FW","Rubin Kazan (RUS)",186,32,23
320,"DEJAGAH","05.07.1986","FW","Nottingham Forest FC (ENG)",181,45,9
321,"ABEDZADEH","26.04.1993","GK","CS Marítimo (POR)",186,1,0
322,"RAMIN","21.03.1990","DF","KV Oostende (BEL)",185,26,2
323,"KAWASHIMA","20.03.1983","GK","FC Metz (FRA)",185,84,0
324,"UEDA","24.10.1994","DF","Kashima Antlers (JPN)",186,4,0
325,"SHOJI","11.12.1992","DF","Kashima Antlers (JPN)",182,12,1
326,"HONDA","13.06.1986","MF","CF Pachuca (MEX)",182,95,36
327,"NAGATOMO","12.09.1986","DF","Galatasaray (TUR)",170,105,3
328,"ENDO","09.02.1993","DF","Urawa Reds (JPN)",178,12,0
329,"SHIBASAKI","28.05.1992","MF","Getafe CF (ESP)",175,18,3
330,"HARAGUCHI","09.05.1991","MF","Fortuna Duesseldorf (GER)",178,33,6
331,"OKAZAKI","16.04.1986","FW","Leicester (ENG)",174,113,50
332,"KAGAWA","17.03.1989","MF","Borussia Dortmund (GER)",175,92,30
333,"USAMI","06.05.1992","MF","Fortuna Duesseldorf (GER)",178,24,3
334,"HIGASHIGUCHI","12.05.1986","GK","Gamba Osaka (JPN)",184,5,0
335,"MUTO","15.07.1992","FW","Mainz 05 (GER)",179,23,2
336,"INUI","02.06.1988","MF","Eibar (ESP)",169,27,4
337,"OSAKO","18.05.1990","FW","1. FC Köln (GER)",182,29,7
338,"YAMAGUCHI","06.10.1990","MF","Cerezo Osaka (JPN)",173,42,2
339,"HASEBE","18.01.1984","MF","Eintracht Frankfurt (GER)",180,110,2
340,"OHSHIMA","23.01.1993","MF","Kawasaki Frontale (JPN)",168,5,0
341,"H. SAKAI","12.04.1990","DF","Olympique Marseille (FRA)",183,43,0
342,"MAKINO","11.05.1987","DF","Urawa Reds (JPN)",182,32,4
343,"G. SAKAI","14.03.1991","DF","Hamburger SV (GER)",176,41,0
344,"YOSHIDA","24.08.1988","DF","Southampton (ENG)",189,82,10
345,"NAKAMURA","27.02.1995","GK","Kashiwa Reysol (JPN)",184,4,0
346,"S G KIM","30.09.1990","GK","Vissel Kobe (JPN)",187,33,0
347,"Y LEE","24.12.1986","DF","Jeonbuk Motors (KOR)",180,28,0
348,"S H JUNG","03.04.1994","DF","Sagan Tosu Football Club (JPN)",188,6,0
349,"B S OH","20.05.1988","DF","Jeju United (KOR)",189,2,0
350,"Y S YUN","04.10.1988","DF","Seongnam Ilhwa Chunma (KOR)",185,6,0
351,"J H PARK","16.01.1987","DF","Ulsan Hyundai (KOR)",174,36,0
352,"H M SON","08.07.1992","FW","Tottenham Hotspur (ENG)",183,67,21
353,"S J JU","30.10.1990","MF","Asan Mugunghwa Football Club(KOR)",176,10,1
354,"S W KIM","14.04.1988","FW","Jeonbuk Motors (KOR)",197,50,10
